"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2020/05/27","297","298","295.5","296.5","1","0.34","23375.959"
"2020/05/26","295","297.5","293.5","295.5","3.5","1.20","35817.481"
"2020/05/25","290.5","293","288.5","292","0","0.00","32942.223"
"2020/05/22","294.5","295","291","292","-5.5","-1.85","41138.923"
"2020/05/21","296","298","295","297.5","3.5","1.19","36299.468"
"2020/05/20","293","294","291","294","2.5","0.86","36789.994"
"2020/05/19","294","294","291.5","291.5","1.5","0.52","53083.214"
"2020/05/18","291","293.5","290","290","-8","-2.68","96872.065"
"2020/05/15","297.5","298.5","294.5","298","5","1.71","44304.804"
"2020/05/14","293","295","292.5","293","-4","-1.35","34480.948"
"2020/05/13","293","297","292.5","297","2","0.68","46158.418"
"2020/05/12","297.5","298.5","295","295","-6","-1.99","52494.788"
"2020/05/11","300","301.5","298.5","301","3.5","1.18","32379.019"
"2020/05/08","300","300","296","297.5","0","0.00","35613.893"
"2020/05/07","294.5","299","294.5","297.5","1.5","0.51","28017.198"
"2020/05/06","294.5","296","292.5","296","0.5","0.17","35704.479"
"2020/05/05","296.5","298","295","295.5","0.5","0.17","23988.405"
"2020/05/04","294.5","296.5","294","295","-9.5","-3.12","72252.861"
"2020/04/30","302","305","301.5","304.5","5.5","1.84","58439.085"
"2020/04/29","299","301.5","298","299","2.5","0.84","46253.301"
"2020/04/28","298.5","298.5","294.5","296.5","-1.5","-0.50","37621.165"
"2020/04/27","298","298.5","296","298","4","1.36","38493.406"
"2020/04/24","295.5","297","294","294","-1.5","-0.51","26465.09"
"2020/04/23","300","300","294","295.5","1.5","0.51","39977.278"
"2020/04/22","294.5","295","290.5","294","-1","-0.34","43568.58"
"2020/04/21","300.5","301.5","293.5","295","-9","-2.96","61949.357"
"2020/04/20","308","309","302.5","304","-2.5","-0.82","44586.86"
"2020/04/17","303.5","308.5","300.5","306.5","20","6.98","117447.201"
"2020/04/16","283","288.5","283","286.5","-1","-0.35","48257.28"
"2020/04/15","287","288.5","286","287.5","2.5","0.88","58561.434"
"2020/04/14","281","285.5","280","285","6.5","2.33","50196.688"
"2020/04/13","278.5","281.5","278.5","278.5","-1","-0.36","22196.596"
"2020/04/10","280","282","279","279.5","-3.5","-1.24","28206.858"
"2020/04/09","287.5","288","282.5","283","-2","-0.70","29276.43"
"2020/04/08","285","285.5","283","285","2","0.71","38698.826"
"2020/04/07","283.5","284","280.5","283","7.5","2.72","48887.346"
"2020/04/06","273","275.5","270","275.5","4","1.47","59712.754"
"2020/04/01","276.5","276.5","271.5","271.5","-2.5","-0.91","47572.034"
"2020/03/31","273","274","269.5","274","6.5","2.43","53901.923"
"2020/03/30","263.5","269","262.5","267.5","-5.5","-2.01","53403.956"
"2020/03/27","284","286","273","273","-7","-2.50","69320.306"
"2020/03/26","279.5","280","275.5","280","3","1.08","54189.633"
"2020/03/25","276.5","280","274","277","9.5","3.55","80514.199"
"2020/03/24","268","274","266","267.5","12.5","4.90","82377.933"
"2020/03/23","257","262.5","252","255","-15","-5.56","76963.709"
"2020/03/20","258.5","270","256","270","22","8.87","159179.726"
"2020/03/19","252","253","235.5","248","-12","-4.62","160811.697"
"2020/03/18","269.5","272.5","260","260","-8","-2.99","118620.643"
"2020/03/17","265","276.5","265","268","-8.5","-3.07","122409.651"
"2020/03/16","285","291","275.5","276.5","-13.5","-4.66","103933.228"
"2020/03/13","275","294","272.5","290","-4","-1.36","151268.148"
"2020/03/12","299","299","287","294","-8","-2.65","114173.351"
"2020/03/11","309","310.5","302","302","-5","-1.63","64923.71"
"2020/03/10","301.5","309","301","307","1.5","0.49","74869.13"
"2020/03/09","307.5","310","305.5","305.5","-9.5","-3.02","88633.277"
"2020/03/06","320","320.5","315","315","-8","-2.48","52807.76"
"2020/03/05","325","326","323","323","2.5","0.78","38223.525"
"2020/03/04","322","322","317","320.5","3","0.94","44745.146"
"2020/03/03","318.5","320","316","317.5","6.5","2.09","55169.411"
"2020/03/02","308","317","308","311","-5","-1.58","86372.942"
"2020/02/27","319","320","315","316","-2.5","-0.78","62401.927"
"2020/02/26","317","320.5","316.5","318.5","-3.5","-1.09","60768.362"
"2020/02/25","320","323.5","317.5","322","2","0.63","38674.011"
"2020/02/24","319.5","321.5","319.5","320","-5","-1.54","42946.68"
"2020/02/21","325.5","326.5","323","325","-0.5","-0.15","22974.534"
"2020/02/20","328","329","325","325.5","-1","-0.31","27061.736"
"2020/02/19","322.5","327","322","326.5","4.5","1.40","48856.218"
"2020/02/18","324.5","326.5","322","322","-9.5","-2.87","64662.604"
"2020/02/17","331.5","333","330.5","331.5","-3.5","-1.04","16145.079"
"2020/02/14","337","337","334.5","335","0","0.00","18326.683"
"2020/02/13","338","338","335","335","0","0.00","23217.021"
"2020/02/12","333.5","336","333","335","3.5","1.06","37612.639"
"2020/02/11","330.5","332.5","330","331.5","4","1.22","29062.935"
"2020/02/10","321.5","328","321","327.5","-0.5","-0.15","30814.424"
"2020/02/07","330","330.5","326","328","-4.5","-1.35","30055.327"
"2020/02/06","329.5","332.5","329","332.5","5","1.53","29659.094"
"2020/02/05","329","329.5","324.5","327.5","2.5","0.77","36601.453"
"2020/02/04","319","326","318","325","10","3.17","52208.496"
"2020/02/03","315","316.5","312","315","-5","-1.56","59711.849"
"2020/01/31","323","323.5","319","320","3.5","1.11","62912.055"
"2020/01/30","326","326","316.5","316.5","-16.5","-4.95","126820.049"
"2020/01/20","334","335.5","333","333","0","0.00","35551.203"
"2020/01/17","334","335.5","332","333","-1.5","-0.45","53908.097"
"2020/01/16","330","336.5","330","334.5","-5.5","-1.62","58217.42"
"2020/01/15","345","345","337.5","340","-6","-1.73","54575.274"
"2020/01/14","345.5","346","344.5","346","4.5","1.32","30368.993"
"2020/01/13","342","342","339","341.5","2","0.59","30663.332"
"2020/01/10","340.5","341","336","339.5","2","0.59","27880.115"
"2020/01/09","335","337.5","333.5","337.5","8","2.43","32397.504"
"2020/01/08","325","333","325","329.5","0","0.00","37913.748"
"2020/01/07","332.5","333","326.5","329.5","-2.5","-0.75","51746.181"
"2020/01/06","333","334.5","332","332","-7.5","-2.21","45677.057"
"2020/01/03","344","345","335.5","339.5","0.5","0.15","42023.268"
"2020/01/02","332.5","339","332.5","339","8","2.42","33282.12"
